Fecha,CO (mg/m3),NO (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM25 (ug/m3),SO2 (ug/m3),Provincia,Estación,Latitud,Longitud,,
24/03/2020,,2.0,3.0,56,10.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
25/03/2020,,3.0,8.0,47,14.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
26/03/2020,,2.0,4.0,62,13.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
27/03/2020,,1.0,3.0,85,18.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
28/03/2020,,1.0,5.0,57,13.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
29/03/2020,,1.0,4.0,57,13.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
30/03/2020,,1.0,1.0,79,12.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
31/03/2020,,1.0,2.0,61,6.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
01/04/2020,,2.0,5.0,63,6.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
02/04/2020,,1.0,5.0,50,8.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
03/04/2020,,2.0,4.0,64,12.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
04/04/2020,,1.0,4.0,58,10.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
05/04/2020,,1.0,2.0,67,8.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/04/2020,,1.0,3.0,59,7.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/04/2020,,1.0,3.0,42,4.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/04/2020,,1.0,4.0,49,5.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/04/2020,,1.0,5.0,38,8.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/04/2020,,1.0,1.0,55,4.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/04/2020,,1.0,2.0,47,7.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
12/04/2020,,1.0,1.0,58,6.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/04/2020,,1.0,2.0,61,9.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/04/2020,,2.0,4.0,52,12.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/04/2020,,1.0,1.0,69,6.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/04/2020,,1.0,1.0,72,6.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/04/2020,,1.0,1.0,71,7.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/04/2020,,1.0,2.0,49,8.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
19/04/2020,,1.0,2.0,53,7.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
20/04/2020,,1.0,2.0,70,8.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
21/04/2020,,1.0,3.0,71,6.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
22/04/2020,,1.0,1.0,63,9.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
23/04/2020,,1.0,2.0,53,10.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
24/04/2020,,2.0,4.0,50,11.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
25/04/2020,,1.0,2.0,58,8.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
26/04/2020,,1.0,1.0,73,16.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
